"","","","","","","",""
"","8","","44(ආ)","","“ෙය(cid:675)(cid:575) (cid:251)(cid:605)ෙම(cid:486) එ(cid:655) 
අ(cid:486)ත(cid:601)ගත ෙක(cid:675)ට”","“ෙය(cid:675)(cid:575) (cid:251)(cid:605)ෙම(cid:486) 
එ(cid:655) අ(cid:486)ත(cid:601)ගත 
ෙක(cid:675)ට”",""
"","9","","61(3)(ආ)","","“(cid:575)දා  හැ(cid:605)ම,”","“(cid:575)දා  හැ(cid:605)ම,”",""
"","10","","64(3)(අ)","","“අ(cid:601)පණය(cid:250) ඉ(cid:462)(cid:604)ප(cid:430) 
(cid:251)(cid:605)මට”","“අ(cid:601)පණය(cid:250) ඉ(cid:462)(cid:604)ප(cid:430) 
(cid:251)(cid:605)මට”",""
"","","","","","","",""
"","11","","67(2)(ආ)","","“56 වන වග(cid:486)(cid:431)ෙ(cid:591) 
කා(cid:601)ය සඳහා”","“56 වන වග(cid:486)(cid:431)ෙ(cid:591) 
කා(cid:601)ය සඳහා”",""
"","12","","77(1)","","“ෙක(cid:675)ටස් ෙහ(cid:676) ඍණ 
ප(cid:436) (cid:536)(cid:664)බඳව බැ(cid:614) 
බැ(cid:610)මට”","“ෙක(cid:675)ටස් ෙහ(cid:676) ඍණ 
ප(cid:436) (cid:536)(cid:664)බඳව බැ(cid:614) 
බැ(cid:610)මට”",""
"","13","","84(2)","","“ඒ (cid:541)(cid:575)ඛ(cid:430)වය”","“ඒ (cid:541)(cid:575)ඛ(cid:430)වය”",""
"","14","","84(4)","","“ෙවන(cid:430) ඍණ ප(cid:436)ය(cid:250) 
(cid:487)කු(cid:430) (cid:251)(cid:605)ම,”","“ෙවන(cid:430) ඍණ 
ප(cid:436)ය(cid:250) (cid:487)කු(cid:430) 
(cid:251)(cid:605)ම,”",""
"","15","","84(5)","","“ය(cid:572) තැනැ(cid:430)තකුට 
ලැ(cid:554)ය හැ(cid:251)ව (cid:431)(cid:557) ය(cid:572) 
අ(cid:592)(cid:431)වා(cid:646)කමකට ෙහ(cid:676) 
(cid:541)(cid:575)ඛ(cid:430)වයකට,”","“ය(cid:572) තැනැ(cid:430)තකුට 
ලැ(cid:554)ය හැ(cid:251)ව 
(cid:431)(cid:557) ය(cid:572) 
ෙහ(cid:676)","අ(cid:592)(cid:431)වා(cid:646)කමකට 
(cid:541)(cid:575)ඛ(cid:430)වයකට,”"
"","","","","","","",""
"","","","","","","",""
"","16","","86(3)","","“ෙක(cid:675)ටස් පවර(cid:489) ලැබ 
ඇ(cid:430)ෙ(cid:430)”","","“ෙක(cid:675)ටස් පවර(cid:489) 
ලැබ ඇ(cid:430)ෙ(cid:430)”"
"","17","","92(1)(ආ)","","“කා(cid:601)ය සඳහා (cid:618)ශාල 
ග(cid:415)ෙද(cid:489)ව(cid:250)”","ග(cid:489)ෙද(cid:489)ව(cid:250)”","“කා(cid:601)ය සඳහා (cid:618)ශාල"
"","","","","","","",""
"","18","","92(1)(ඉ)","","“(1) වන 
උපවග(cid:486)(cid:431)ෙ(cid:591)”","“(1) වන","උපවග(cid:486)(cid:431)ෙ(cid:591)”"
"","19","","95(2)","","“(1) වන උපවග(cid:486)(cid:431)ය 
යටෙ(cid:430)”","“(1) වන 
උපවග(cid:486)(cid:431)ය 
යටෙ(cid:430)”",""
"","20","","98(2)","","“සමාගම (cid:618)(cid:646)(cid:486)”","","“සමාගම (cid:618)(cid:646)(cid:486)”"
"","21","","102(4)","","“ෙ(cid:572)  වග(cid:486)(cid:431)ෙ(cid:591) 
(cid:618)(cid:477)(cid:618)ධාන”","(cid:618)(cid:477)(cid:618)ධාන”","“ෙ(cid:572)  වග(cid:486)(cid:431)ෙ(cid:591)"
"","22","","102(11)(අ)","","“(cid:606)(cid:536)ය(cid:610) පනස් 
දහස(cid:250)”","දහස(cid:250)”","“(cid:606)(cid:536)ය(cid:610) පනස්"
